API,NFT ID,Rarity Score,Rank
https://api.raritysniper.com/public/collection/dollar-store-kids/id/,1,2181.54,1621
https://api.raritysniper.com/public/collection/dollar-store-kids/id/,2,1767.85,2358
https://api.raritysniper.com/public/collection/dollar-store-kids/id/,3,5825.44,62
https://api.raritysniper.com/public/collection/dollar-store-kids/id/,4,3714.48,359
