NFT ID,Rarity Score,Rank
1,418.26,4875
2,310.77,8394
3,457.65,3763
4,666.54,1103
5,367.59,6730
6,364.3,6846
7,506.68,2808
8,421.29,4772
9,749.32,569
10,919.82,147
11,275.37,8822
12,386.35,5994
13,359.21,7043
14,579.48,1956
15,412.88,5021
16,728.43,687
17,520.94,2624
18,424.12,4676
19,572.36,2040
20,657.69,1180
21,370.31,6635
22,313.39,8339
23,319.99,8199
24,452.29,3901
25,537.45,2438
26,285.68,8748
27,351.87,7278
28,398.82,5525
29,421.68,4754
30,392.47,5759
31,546,2341
32,517.01,2671
33,446.84,4025
34,422.86,4717
35,338.85,7706
36,479.15,3297
37,281.55,8783
38,465.22,3591
39,466.42,3558
40,719.09,752
41,369.63,6656
42,357.48,7101
43,616.62,1599
44,399.41,5507
45,372.83,6541
46,713.89,781
47,323.16,8129
48,528.96,2527
49,560.74,2181
50,379.45,6277
51,335.14,7830
52,363.3,6887
53,354.58,7197
54,444.08,4103
55,362.07,6934
56,578.61,1971
57,672.09,1069
58,394.95,5673
59,414.69,4970
60,486.48,3165
61,322.21,8148
62,386.56,5986
63,379.18,6295
64,404.81,5312
65,428.58,4547
66,452.21,3903
67,767.62,489
68,414.75,4964
69,362.38,6922
70,448.61,3982
71,486.5,3164
72,425.41,4641
73,452.77,3887
74,601.69,1722
75,452.53,3896
76,349.73,7354
77,404.32,5327
78,753.73,546
79,339.59,7677
80,542.11,2384
81,385.83,6018
82,420.84,4786
83,492.35,3053
84,386.11,6003
85,318.71,8223
86,375.14,6455
87,283.2,8766
88,397.92,5576
89,321.64,8163
90,270.3,8842
91,428.39,4551
92,579.09,1966
93,472.08,3437
94,398.13,5558
95,543.02,2375
96,439.25,4243
97,445.64,4066
98,633.25,1417
99,408.88,5165
100,330.75,7952
101,433.15,4395
102,421.33,4768
103,775.09,458
104,3182.65,15
105,697.71,872
106,491.19,3069
107,513.18,2717
108,404.42,5321
109,433.72,4380
110,427.15,4583
111,321.34,8169
112,511.08,2743
113,409.83,5136
114,735.86,643
115,844.57,262
116,416.21,4919
117,291.85,8693
118,300.76,8572
119,444.35,4096
120,394.2,5701
121,406.39,5255
122,480.18,3281
123,303.01,8540
124,366.84,6758
125,333.85,7867
126,440.9,4204
127,309.78,8414
128,392.33,5768
129,377.23,6380
130,397.51,5593
131,547.92,2323
132,603.4,1710
133,551.86,2290
134,380.58,6225
135,352.11,7265
136,319.85,8201
137,436.88,4294
138,362.91,6904
139,621.75,1548
140,441.59,4181
141,567.71,2101
142,441.14,4192
143,717.02,763
144,757.53,531
145,538.93,2419
146,513.29,2715
147,379.54,6273
148,487.96,3131
149,401.15,5444
150,459.16,3725
151,392.56,5754
152,327.62,8022
153,625.23,1506
154,400.29,5475
155,652.48,1234
156,511.06,2745
157,539.61,2410
158,859.33,222
159,366.88,6754
160,740.56,620
161,471.94,3441
162,301.77,8555
163,463.88,3620
164,766.95,493
165,731.63,667
166,630.73,1446
167,864.88,209
168,375.48,6448
169,324.71,8092
170,380.89,6212
171,290.91,8701
172,602.24,1719
173,904.88,160
174,528.15,2536
175,424.55,4662
176,632.68,1424
177,335.55,7813
178,699.17,862
179,335.76,7803
180,412.58,5036
181,422.78,4720
182,673.52,1057
183,603.87,1708
184,433.73,4379
185,512.15,2727
186,370.92,6613
187,588.34,1860
188,373.38,6519
189,536.43,2448
190,490.34,3085
191,441.91,4173
192,344.73,7519
193,605.55,1696
194,461.47,3671
195,333.91,7864
196,455.94,3803
197,420.48,4798
198,425.8,4622
199,332.5,7909
200,418.67,4861
201,671.18,1076
202,369.54,6661
203,571.47,2053
204,776.23,450
205,440.2,4223
206,839.36,275
207,372.77,6545
208,772.23,473
209,745.87,590
210,393.22,5731
211,394.67,5684
212,715.59,769
213,513.47,2712
214,337.49,7751
215,708.74,806
216,303.52,8532
217,278.63,8799
218,343.72,7550
219,366.46,6770
220,260.72,8861
221,375.77,6436
222,370.63,6623
223,308.15,8444
224,297.91,8613
225,432.96,4400
226,392.53,5755
227,693.59,902
228,512.65,2721
229,289.84,8712
230,431.8,4442
231,859.84,220
232,345.36,7499
233,571.55,2049
234,263.09,8857
235,490.04,3091
236,989.88,103
237,617.19,1594
238,265.2,8851
239,424.05,4677
240,582.36,1926
241,429.08,4528
242,484.22,3204
243,563.72,2154
244,312.32,8360
245,310.75,8395
246,332.88,7894
247,383.03,6122
248,325.6,8074
249,633.49,1413
250,805.01,367
251,350.4,7326
252,471.44,3451
253,430.52,4477
254,657.2,1189
255,355.42,7160
256,313.86,8332
257,403.49,5355
258,611.17,1645
259,334.22,7854
260,349.53,7360
261,329.32,7983
262,362.71,6913
263,537.04,2442
264,352.77,7243
265,1001.14,96
266,423.78,4682
267,395.55,5645
268,300.15,8579
269,548.56,2316
270,343.31,7564
271,372.51,6562
272,442.77,4148
273,774.75,460
274,293.63,8671
275,499.25,2938
276,439.53,4235
277,298.61,8601
278,369.51,6664
279,353.16,7229
280,916.45,148
281,325.62,8072
282,327.1,8036
283,328.47,7998
284,441.9,4174
285,431.98,4428
286,414.88,4959
287,404.42,5321
288,630.33,1452
289,383.18,6117
290,507.38,2796
291,502.31,2881
292,399.12,5515
293,482.4,3238
294,493.3,3040
295,563.61,2156
296,500.72,2905
297,288.92,8721
298,537.82,2431
299,422.42,4731
300,391.61,5799
301,643.8,1323
302,398.09,5561
303,421.97,4742
304,365.81,6796
305,332.29,7911
306,304.85,8509
307,555.35,2247
308,393.03,5736
309,760.95,520
310,421.08,4777
311,365.48,6809
312,335,7834
313,434.63,4350
314,857.07,228
315,326.14,8059
316,378.3,6334
317,397.98,5571
318,775.77,453
319,433.44,4389
320,384.93,6047
321,350.66,7316
322,746.3,588
323,427.93,4564
324,474.85,3377
325,352.72,7247
326,314.73,8313
327,289.45,8715
328,466.12,3569
329,375.55,6445
330,583.96,1903
331,460.13,3711
332,352.03,7272
333,597.57,1766
334,402.25,5397
