NFT ID,Rarity Score,Rank
1,4873.67,1240
2,4870.82,1946
3,4855.54,3696
4,4857.68,3274
5,4855.54,3696
6,4876.59,782
7,4922.11,21
8,4852.97,4146
9,4855.54,3696
10,4861.01,2596
11,4852.69,4152
12,4873.74,1183
13,4871.81,1614
14,4857.68,3274
15,4868.2,2272
16,4854.83,3963
17,4877,584
18,4879.92,380
19,4879.92,380
20,4877,584
21,4868.76,2096
22,2635.68,4441
23,4868.2,2272
24,4865.38,2370
25,4873.67,1240
26,4855.54,3696
27,4855.54,3696
28,4877,584
29,4861.01,2596
30,4846.53,4336
31,4873.67,1240
32,4861.88,2520
33,4868.69,2110
34,4877.08,507
35,4874.87,943
36,4876.59,782
37,4887.53,166
38,4868.69,2110
39,4873.67,1240
40,4881.34,336
41,4855.54,3696
42,4865.29,2404
43,4857.75,3251
44,4858.88,2973
45,4873.74,1183
46,4858.88,2973
47,4861.01,2596
48,4857.68,3274
49,4859.75,2921
50,4898.33,121
51,4861.01,2596
52,4877,584
53,4873.67,1240
54,4852.69,4152
55,4874.87,943
56,4854.83,3963
57,4857.68,3274
58,4857.68,3274
59,4868.69,2110
60,4858.88,2973
61,4861.01,2596
62,4873.74,1183
63,4877.07,531
64,4876.59,782
65,4861.29,2548
66,4850.74,4301
67,4873.67,1240
68,4858.16,3157
69,4855.54,3696
70,4870.82,1946
71,4874.15,1097
72,4855.54,3696
73,4858.88,2973
74,4854.83,3963
75,4888.4,152
76,4873.67,1240
77,4854.83,3963
78,4857.68,3274
79,4877,584
80,4877.35,491
81,4857.68,3274
82,4855.54,3696
83,4855.54,3696
84,4873.67,1240
85,4874.87,943
86,4884.26,245
87,4871.53,1672
88,4852.69,4152
89,4855.54,3696
90,4901.67,79
91,4884.19,252
92,4868.69,2110
93,4857.68,3274
94,4871.53,1672
95,4873.67,1240
96,4873.74,1183
97,4860.6,2792
98,4855.54,3696
99,4857.75,3251
100,4868.69,2110
101,4867.51,2348
102,4884.19,252
103,4858.16,3157
104,4861.01,2596
105,4877.88,465
106,4852.69,4152
107,4908.97,44
108,4871.53,1672
109,4873.67,1240
110,4885.68,186
111,4857.68,3274
112,4868.69,2110
113,4872.02,1544
114,4884.68,218
115,4857.68,3274
116,4858.88,2973
117,4871.81,1614
118,4871.53,1672
119,4852.69,4152
120,4852.69,4152
121,4873.67,1240
122,4794.69,4410
123,4876.59,782
124,4873.74,1183
125,4877.08,507
126,4874.87,943
127,4877.07,531
128,4857.68,3274
129,4855.54,3696
130,4874.87,943
131,4860.6,2792
132,4871.53,1672
133,4868.69,2110
134,4857.68,3274
135,4874.87,943
136,4858.16,3157
137,4868.69,2110
138,4852.69,4152
139,4854.83,3963
140,4861.01,2596
141,4871.53,1672
142,4882.34,312
143,4872.02,1544
144,4854.83,3963
