NFT ID,Rarity Score,Rank
1,254.34,1975
2,198.59,2553
3,237.03,2170
4,288.18,1653
5,579.24,522
6,596.34,487
7,171.79,2719
8,303.04,1486
9,782.34,237
10,734.82,279
11,221.52,2339
12,400.81,888
13,631.08,429
14,226.89,2286
15,665.26,375
16,256.36,1957
17,347.63,1138
18,305.56,1462
19,396.45,904
20,887.87,186
21,295.98,1557
22,710.85,306
23,330.67,1255
24,277.47,1762
25,164.13,2752
26,673.8,361
27,194.39,2587
28,249.88,2022
29,292.12,1600
30,344.29,1163
31,186.53,2651
32,368.38,1022
33,523.05,623
34,282.02,1717
35,323.81,1311
36,1798.38,16
37,407.5,866
38,295.78,1559
39,408.29,863
40,213.63,2422
41,1038.97,132
42,368.49,1020
43,342.75,1173
44,216.68,2392
45,255.19,1967
46,300.45,1507
47,333.78,1230
48,251.69,2002
49,554.91,568
50,1172.63,90
51,290.29,1618
52,736.25,277
53,163.06,2761
54,494.58,666
55,128.06,2826
56,353.06,1103
57,187.8,2641
58,205.63,2497
59,412.68,852
60,660.63,383
61,465.29,724
62,313.08,1393
63,345.86,1151
64,241.61,2113
65,991.27,145
66,340.8,1188
67,255.86,1960
68,568.15,541
69,428.56,814
70,343.7,1168
71,236.09,2181
72,271.36,1812
73,293.36,1583
74,414.4,850
75,204.61,2505
76,517.04,632
77,336.16,1219
78,298.08,1528
79,199.81,2542
80,277.09,1767
81,350.97,1119
82,179.67,2689
83,241.38,2115
84,230.35,2248
85,243.57,2093
86,340.42,1190
87,245.25,2070
88,224.75,2309
89,222.9,2325
90,223.26,2319
91,353.12,1102
92,230.05,2254
93,229.68,2257
94,347.63,1138
95,232.9,2220
96,256.94,1947
97,306.63,1455
98,207.2,2482
99,199.23,2549
100,3075.34,5
101,378.94,976
102,391.99,923
103,1672.53,35
104,732.37,282
105,212.48,2437
106,281.09,1726
107,228.61,2270
108,374.54,992
109,324.28,1306
110,1603.11,51
111,229.28,2261
112,435.34,796
113,485.22,685
114,281.04,1727
115,682.38,345
116,463.83,730
117,292.19,1598
118,496.49,664
119,190.41,2619
120,793.84,229
121,296.89,1543
122,379.5,973
123,383.2,959
124,146.67,2798
125,587.57,503
126,1681.78,34
127,287.93,1656
128,586.42,505
129,263.6,1886
130,239.45,2144
131,432.14,805
132,565.86,544
133,1585.27,56
134,242.05,2110
135,433.43,801
136,293.25,1586
137,271.67,1808
138,246.96,2051
139,736.34,276
140,272.14,1802
141,161.25,2767
142,951.93,162
143,286.41,1670
144,238.27,2156
145,693.12,327
146,212.14,2441
147,192.39,2601
148,314.31,1381
149,209.97,2457
150,243.02,2098
151,280.98,1728
152,748.9,262
153,242.84,2101
154,232.03,2228
155,275.44,1782
156,1713.36,25
157,434.71,798
158,390.14,932
159,646.78,404
160,672.12,363
161,598.87,485
162,475.37,702
163,341.63,1183
164,267.52,1857
165,833.43,210
166,311.77,1408
167,336.58,1216
168,264.3,1883
169,190.15,2624
170,611.57,460
171,179.26,2692
172,338.58,1205
173,175.21,2706
174,253.38,1983
175,313.12,1391
176,611.65,458
177,459.8,738
178,296.29,1555
179,261.49,1904
180,356.42,1082
181,204.98,2500
182,251.23,2007
183,261.51,1903
184,211.07,2445
185,214.6,2412
186,300.85,1503
187,390.71,929
188,146.58,2799
189,202.68,2515
190,573.98,529
191,754.2,255
192,541.03,595
193,325.48,1294
194,264.39,1881
195,241.18,2117
196,394.66,913
197,247.79,2048
198,221.35,2341
199,349.5,1131
200,192.55,2599
201,178.51,2695
202,295.75,1560
203,602.43,479
204,875.32,191
205,3083.35,4
206,218.09,2374
207,173.55,2712
208,295.5,1564
209,190.17,2623
210,1287.13,67
211,344.13,1166
212,230.06,2253
213,229.37,2260
214,391.84,924
215,640.38,413
216,503.77,647
217,391.07,927
218,494.24,670
219,634.85,421
220,369.25,1014
221,289.87,1627
222,953.71,158
223,244.73,2079
224,385.26,947
225,259.41,1925
226,224.7,2311
227,562.58,546
228,576.79,526
229,332.57,1241
230,298.39,1523
231,233.69,2209
232,272.06,1805
233,605.41,472
234,152.26,2784
235,202.33,2518
236,308.31,1439
237,333.39,1238
238,317.61,1359
239,496.74,663
240,547.53,581
241,190.41,2619
242,579.66,519
243,293.34,1584
244,454.85,742
245,234.26,2198
246,226.23,2295
247,314.7,1375
248,444.68,769
249,952.9,160
250,327.86,1276
251,559.93,553
252,170.78,2723
253,222.53,2330
254,651.01,394
255,248.01,2046
256,269.26,1836
257,303.58,1482
258,677.25,351
259,674.77,359
260,425.68,823
261,394.05,915
262,497.49,661
263,1143.91,94
264,371.02,1010
265,193.31,2590
266,1053.79,127
267,271.25,1813
268,256.42,1954
269,117.99,2833
270,307.32,1445
271,300.59,1506
272,863.25,195
273,278.3,1755
274,1563.73,62
275,400.91,887
276,295.22,1571
277,283.87,1689
278,180.04,2685
279,344.9,1158
280,206.51,2488
281,185.97,2656
282,303.69,1480
283,878.83,189
284,187.41,2645
285,220.7,2350
286,208.06,2475
287,273.03,1796
288,244.42,2081
289,359.52,1064
290,548.29,580
291,664.77,376
292,241.61,2113
293,368.19,1023
294,269.02,1841
295,380.87,968
296,416.39,846
297,432.15,804
298,298.76,1520
299,255.5,1963
300,250.76,2010
301,707.51,310
302,263.39,1888
303,251.78,1999
304,255.86,1960
305,220.93,2347
306,2997.84,11
307,330.79,1253
308,279.01,1745
309,693.24,326
310,218.67,2371
311,166.14,2744
312,283.43,1696
313,764.14,246
314,626.32,442
315,364.62,1041
316,222.97,2322
317,254.32,1976
318,690.39,331
319,589.82,501
320,543.33,588
321,414.28,851
322,295.3,1570
323,283.44,1695
324,367.65,1031
325,214.27,2416
326,254.43,1973
327,1053.37,128
328,211.18,2444
329,311,1412
330,238.09,2158
331,288.86,1642
332,246.58,2056
333,179.15,2694
334,640.73,412
335,690.25,332
336,535.3,599
337,233.43,2214
338,701.74,317
339,269.23,1837
340,717.34,297
