NFT ID,Rarity Score,Rank
1,11030.93,1
2,320.66,6498
3,459.38,3252
4,320.63,6499
5,523.07,2111
6,904.43,218
7,411.91,4316
8,418.76,4149
9,1596.02,51
10,438.42,3721
11,386.61,4897
12,344.05,5950
13,241.11,7618
14,286.43,7137
15,698.13,588
16,435.99,3778
17,301.91,6857
18,338.29,6079
19,345.15,5914
20,478.43,2856
21,529.13,2019
22,478.37,2858
23,1624.85,47
24,313.81,6635
25,518.72,2176
26,554.42,1680
27,367.16,5356
28,339.34,6057
29,360.27,5534
30,424.28,4033
31,328.68,6326
32,197.78,7768
33,287.56,7113
34,668.14,737
35,522.44,2121
36,557.23,1635
37,505.78,2396
38,685.03,654
39,527.65,2041
40,510.56,2302
41,245.1,7588
42,430.02,3901
43,312.79,6658
44,373.38,5216
45,446.16,3531
46,713.58,534
47,417.01,4192
48,567.68,1523
49,323.84,6419
50,421.41,4094
51,530.69,2001
52,556.66,1646
53,426.63,3995
54,347.17,5871
55,398.48,4611
56,465.04,3141
57,335.93,6131
58,549.44,1735
59,1627.16,45
60,479.27,2841
61,490.99,2636
62,331.46,6251
63,526.46,2061
64,806.35,322
65,281.37,7215
66,341.09,6014
67,1000.19,170
68,329.55,6301
69,673.58,707
70,376.39,5142
71,433.52,3835
72,596.64,1235
73,383.19,4983
74,369.58,5312
75,384.29,4955
76,324.65,6406
77,458.06,3285
78,594.31,1261
79,426.79,3989
80,568.74,1511
81,490.04,2658
82,368.58,5332
83,239.97,7623
84,430.78,3873
85,639.32,901
86,421.2,4101
87,476.51,2904
88,579.92,1402
89,670.98,724
90,417.43,4178
91,519.11,2171
92,1029.36,161
93,580.96,1391
94,408.65,4394
95,259.41,7457
96,558.73,1620
97,348.78,5831
98,446,3536
99,296.27,6970
100,1305.53,80
101,336.73,6115
102,301.63,6867
103,366.55,5367
104,357.58,5608
105,353.64,5710
106,733.68,477
107,486.77,2726
108,394.34,4710
109,552.78,1696
110,596.57,1237
111,452.88,3382
112,363.6,5445
113,353.86,5704
114,403.47,4502
115,278.48,7252
116,571.46,1485
117,351.36,5769
118,350.52,5787
119,377.35,5120
120,398.69,4605
121,317.84,6565
122,712.5,537
123,269.77,7362
124,510.35,2308
125,363.37,5451
126,516.24,2226
127,490.73,2643
128,465.62,3132
129,425.56,4010
130,435.98,3779
131,545.43,1787
132,210.31,7748
133,363.46,5447
134,578.76,1412
135,394.14,4716
136,500.8,2470
137,426.91,3984
138,436.04,3776
139,625.08,990
140,292.83,7035
141,280.03,7232
142,361.97,5490
143,415.05,4234
144,631.24,949
145,418.85,4146
146,492.68,2608
147,424.41,4030
148,287.24,7120
149,440.87,3661
150,705.73,557
151,332.4,6220
152,378.81,5088
153,1363.77,67
154,370.23,5291
155,469.28,3050
156,504.91,2412
157,318.2,6554
158,398.27,4616
159,895.81,226
160,323.36,6430
161,241.38,7616
162,456.57,3306
163,414.31,4250
164,406.13,4444
165,567.2,1532
166,454.39,3349
167,534.35,1948
168,626.01,985
169,270.09,7359
170,544.12,1806
171,413.36,4278
172,301.82,6859
173,414.14,4256
174,607.25,1134
175,467.95,3074
176,543.76,1813
177,384.94,4933
178,589.51,1308
179,233.3,7652
180,351.86,5756
181,421.99,4082
182,1254.44,94
183,596.41,1242
184,400.55,4557
185,480.84,2810
186,602.08,1183
187,386.39,4903
188,327.42,6355
189,570.14,1501
190,726.42,495
191,341.08,6015
192,524.97,2080
193,442.69,3612
194,396.66,4658
195,282.41,7202
196,768.61,386
197,389.32,4833
198,544.56,1800
199,366.49,5370
200,650.21,832
201,592.14,1281
202,400.98,4544
203,557.97,1630
204,587.96,1324
205,513.18,2267
206,459.08,3259
207,1754.6,40
208,265.99,7401
209,422.7,4069
210,353.18,5721
211,444.48,3575
212,421.27,4098
213,367.8,5342
214,268.32,7376
215,550.73,1721
216,404.53,4475
217,307.95,6760
218,387.28,4887
219,334.45,6172
220,349.95,5805
221,445.71,3543
222,413.55,4270
223,429.75,3908
224,488.77,2687
225,371.04,5274
226,318.38,6550
227,480.18,2825
228,541.72,1841
229,287.18,7121
230,463.07,3179
231,528.4,2031
232,367.28,5354
233,251.73,7533
234,412.04,4312
235,311.02,6695
236,471.7,2996
237,315.15,6610
238,563.39,1566
239,1036.09,158
240,495.37,2561
241,237.95,7631
242,327.95,6339
243,560.76,1591
244,391.92,4767
245,470.42,3023
246,432.65,3846
247,417.41,4179
248,282.6,7197
249,703.93,563
250,360.2,5538
251,458.94,3267
252,273.78,7320
253,393.5,4729
254,512.09,2281
255,365.84,5391
256,571.55,1483
257,409.67,4366
258,435.09,3795
259,308.49,6753
260,469.73,3037
261,603.84,1165
262,275.01,7301
263,564.04,1560
264,307.68,6764
265,377.35,5120
266,335.72,6142
267,769.91,379
268,466.28,3118
269,990.31,176
270,344.95,5924
271,400.85,4549
272,577.69,1424
273,264.16,7417
274,424.86,4023
275,259.16,7460
276,473.41,2965
277,393.2,4736
278,573.14,1469
279,295.52,6986
280,602.23,1179
281,442.75,3610
282,302.08,6851
283,440.83,3663
284,283.77,7180
285,423.64,4056
286,468.09,3069
287,258.37,7471
288,309.04,6738
289,299.62,6916
290,291.46,7052
291,465.21,3138
292,338.6,6075
293,480.43,2817
294,197.69,7769
295,508.64,2339
296,240.06,7622
297,276.95,7277
298,392.23,4761
299,581.85,1379
300,312.25,6672
301,288.41,7094
302,507.58,2363
303,315.88,6602
304,354.2,5696
305,412.48,4299
306,489.1,2680
307,396.63,4660
308,395.33,4687
309,675.49,697
310,456.88,3300
311,672.09,716
312,399,4600
313,524.41,2094
314,639.33,900
315,505.32,2404
316,479.49,2839
317,461.2,3216
318,400.05,4576
319,434.29,3815
320,569.9,1504
321,544.9,1794
322,450.39,3431
323,596.34,1244
324,462.76,3187
325,298.05,6945
326,572.09,1478
327,533.36,1963
328,381.37,5028
329,482.25,2788
330,442.91,3605
331,347.3,5868
332,229.9,7678
333,547.52,1766
334,410.87,4339
335,301.95,6855
336,462.98,3181
337,544.99,1791
338,303.83,6821
339,365.33,5403
340,423.82,4050
341,468.11,3068
342,301.35,6871
343,400.56,4556
344,344.45,5936
345,382.22,5007
346,291.6,7047
347,318.09,6558
348,511.5,2292
349,469.38,3046
350,438.31,3725
351,736.48,469
352,467.94,3075
353,284.59,7167
354,532.87,1968
355,600.26,1194
356,689.11,632
357,558.96,1615
358,559.56,1606
359,345.33,5912
360,500.1,2486
361,399.51,4589
362,344.08,5949
363,405.23,4462
364,313.92,6633
365,221.41,7713
366,499.9,2490
367,304.67,6808
368,438.4,3722
369,412.12,4309
370,660.73,773
371,276.03,7289
372,333.67,6183
373,632.11,943
374,417.33,4182
375,385.26,4927
376,528.54,2027
377,481.39,2800
378,697.82,591
379,338.23,6080
380,597.04,1226
381,420.21,4123
382,539.31,1880
383,289.24,7085
384,342.81,5978
385,354.33,5693
386,396.66,4658
387,703.51,567
388,605.92,1152
389,352.68,5736
390,373.15,5221
391,289.92,7079
392,449.58,3452
393,406.22,4441
394,346.88,5879
395,424.67,4027
396,354.44,5690
397,224.6,7704
398,360.27,5534
399,583.47,1364
400,506.4,2383
401,415.29,4227
402,398.83,4602
403,368.68,5329
404,359.57,5555
405,702.99,570
406,493.12,2598
407,306.39,6781
408,564.99,1554
409,438.54,3719
410,299.19,6925
411,272.68,7331
412,445.18,3557
413,329.24,6309
414,430.08,3898
415,405.52,4456
416,331.25,6255
417,502.86,2442
418,270.6,7355
419,329.76,6292
420,397.68,4631
421,493.1,2599
422,508.35,2347
423,547.56,1764
424,291.06,7058
425,702.84,571
426,531.45,1989
427,342.93,5975
428,723.23,505
429,1750.19,41
430,544.46,1802
431,469.26,3052
432,430.76,3875
433,250.65,7547
434,439.02,3701
435,273.82,7319
436,329.97,6285
437,256.15,7490
438,399.04,4598
439,191.13,7772
440,417.41,4179
441,427.72,3964
442,606.07,1149
443,419.54,4135
444,307.57,6765
445,500.75,2471
446,232.45,7661
447,441.52,3644
448,612.32,1089
449,318.56,6544
450,523.47,2106
451,485.85,2740
452,527.77,2040
453,454.7,3343
454,410.4,4351
455,599.04,1208
456,459.56,3247
457,941.91,197
458,511.69,2287
459,489.59,2672
460,279.04,7242
461,567.56,1525
462,465.96,3124
463,460.13,3230
464,302.46,6842
465,380.88,5037
