NFT ID,Rarity Score,Rank
1,235.94,918
2,206.86,1650
3,234.05,954
4,211.15,1552
5,217.51,1390
6,208.22,1621
7,197.44,1826
8,286.11,244
9,198.32,1814
10,316.98,123
11,209.7,1587
12,236.18,910
13,286.24,243
14,245.76,707
15,217.27,1399
16,200.43,1772
17,202.28,1738
18,264.57,441
19,306.19,163
20,225.73,1171
21,255.08,561
22,257.67,520
23,187.02,1921
24,248.46,656
25,268.95,392
26,237.84,865
27,236.77,894
28,221.75,1283
29,215.95,1427
30,304.58,168
31,223.98,1219
32,200.46,1771
33,212.23,1522
34,305.55,165
35,225.17,1184
36,218.92,1356
37,209.35,1593
38,276.69,314
39,216.2,1419
40,259.33,500
41,244.35,739
42,258.3,516
43,593.14,7
44,313.66,137
45,228.86,1084
46,204.75,1690
47,215.99,1425
48,296.93,201
49,255.23,555
50,265.97,427
51,238.66,848
52,219.88,1326
53,259.04,505
54,269.54,386
55,345.33,73
56,242.34,773
57,300.25,182
58,247.22,682
59,315,130
60,338.93,82
61,224.13,1212
62,295.48,204
63,219.49,1336
64,188.32,1913
65,244.92,723
66,236.73,896
67,200.87,1762
68,260.61,487
69,265.84,429
70,236.92,888
71,209.6,1589
72,237.72,871
73,255.07,562
74,187.94,1915
75,199.05,1798
76,219.8,1328
77,229.11,1075
78,225.04,1188
79,222.29,1267
80,242.87,756
81,265.62,431
82,261.06,482
83,218.14,1375
84,256.33,540
85,436.48,17
86,250.95,615
87,230.91,1031
88,229.21,1071
89,214.45,1473
90,200.49,1770
91,196.7,1835
92,273.63,350
93,238.34,858
94,219.34,1341
95,281.12,279
96,215.95,1427
97,236.35,905
98,279.39,294
99,215.35,1447
100,257.61,524
101,253.36,582
102,231.7,1014
103,255,563
104,245.54,710
105,205.42,1678
106,240.53,812
107,293.97,208
108,238.93,843
109,264.05,450
110,193.45,1879
111,218.56,1364
112,238.44,852
113,203.68,1714
114,198.37,1812
115,256.83,533
116,207.83,1626
117,270.41,377
118,272.7,355
119,236.95,887
