API,NFT ID,Rarity Score,Rank
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,1,288.15,89
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,2,273.49,184
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,3,281.12,131
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,4,282.34,115
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,5,271.83,240
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,6,272.57,219
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,7,282.3,119
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,8,289.57,84
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,9,281.36,127
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,10,315.15,50
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,11,286.31,92
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,12,272.08,231
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,13,275.84,158
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,14,284.15,102
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,15,12522.76,18
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,16,280.96,132
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,17,302.33,62
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,18,346.09,40
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,19,273.95,173
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,20,282.81,110
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,21,11521.62,19
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,22,312.83,51
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,23,301.62,65
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,24,281.2,129
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,25,284.32,101
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,26,273.08,198
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,27,15520.61,15
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,28,275.18,162
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,29,9521.84,21
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,30,273.31,193
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,31,282.24,121
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,32,286.47,91
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,33,302.7,59
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,34,284.73,98
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,35,276.94,151
https://api.raritysniper.com/public/collection/the-aristocrats-society/id/,36,318.64,46
