API,NFT ID,Rarity Score,Rank
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,1,81.41,38
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,2,38.46,401
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,3,38.69,390
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,4,34.92,555
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,5,35.03,546
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,6,34.23,582
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,7,36.02,507
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,8,36,509
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,9,36.96,462
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,10,49.17,160
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,11,32.56,653
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,12,55.43,129
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,13,44.78,222
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,14,38.64,395
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,15,63.47,93
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,16,37.6,435
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,17,53.32,138
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,18,35.11,541
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,19,38.39,402
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,20,31.21,693
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,21,51.07,149
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,22,32.2,668
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,23,40.08,352
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,24,49.49,158
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,25,35.01,548
https://api.raritysniper.com/public/collection/knights-who-say-nah-warriors/id/,26,45.76,206
