NFT ID,Rarity Score,Rank
1,353.39,4925
2,2360.66,181
3,987.17,1077
4,697.82,2053
5,761.39,1778
6,313.74,5405
7,349.69,4973
8,1299.69,614
9,293.21,5628
10,644.4,2340
11,383.69,4553
12,360.76,4826
13,210.59,6449
14,642.05,2352
15,392.91,4437
16,857.7,1403
17,374.44,4658
18,360.65,4832
19,343,5059
20,660.78,2256
21,331.31,5168
22,365.31,4763
23,852.01,1421
24,409.77,4274
25,119.06,6621
26,947.42,1165
27,258.55,6039
28,348.96,4983
29,181.68,6573
30,314.94,5386
31,551.6,2946
32,685.85,2107
33,536.51,3064
34,946.6,1166
35,300.01,5561
36,648.71,2318
37,456.39,3804
38,1648.13,375
39,239.29,6221
40,169.56,6585
41,243.1,6177
42,418.07,4186
43,1950.14,264
44,587.49,2678
45,355.8,4888
46,563.34,2856
47,676.82,2160
48,681.67,2128
49,431.65,4050
50,640.45,2360
51,444.89,3909
52,338.9,5100
53,434.39,4018
54,211.63,6445
55,567.24,2828
56,484.02,3553
57,265.15,5964
58,239.76,6215
59,883.05,1338
60,492.78,3479
61,2519.34,149
62,1425.81,499
63,362.52,4803
64,465.9,3715
65,1590.93,406
66,318.51,5337
67,921.99,1240
68,227.57,6320
69,714.14,1978
70,368.58,4722
71,267.3,5934
72,283.54,5737
73,2260.97,202
74,467.45,3699
75,216.94,6415
76,309.77,5446
77,303.55,5518
78,832.09,1488
79,985.95,1078
80,367.34,4742
81,239.57,6219
82,273.95,5848
83,691.5,2078
84,1769.71,323
85,704.09,2030
86,1234,696
87,489.26,3508
88,221.52,6368
89,379.93,4596
90,1179.67,750
91,372.2,4687
92,1467.27,482
93,846.18,1438
94,1375.62,526
95,305.25,5500
96,247.09,6147
97,377.67,4618
98,1408.08,508
99,637.48,2382
100,319.75,5325
101,776.45,1702
102,555,2920
103,457.5,3790
104,680.57,2135
105,1030.88,981
106,745.39,1828
107,460.67,3758
108,849.47,1431
109,408.75,4288
110,652.32,2296
111,400.62,4363
112,655.49,2284
113,685,2111
114,420.49,4163
115,415.48,4214
116,835.66,1474
117,585.19,2698
118,728.21,1910
119,960.7,1127
120,1007.21,1033
121,392.45,4442
122,719.49,1954
123,646.26,2327
124,516.61,3253
125,437.57,3982
126,253.07,6092
127,415.8,4211
128,886.19,1331
129,962.92,1123
130,550.39,2954
131,396.3,4409
132,1026.72,991
133,388.51,4500
134,812.3,1562
135,315.27,5384
136,472.68,3654
137,674.85,2175
138,2976.29,96
139,433.13,4030
140,928.24,1219
141,316.17,5368
142,610.72,2543
143,780.82,1681
144,857.46,1405
145,413.82,4228
146,663.13,2240
147,488.76,3520
148,524.13,3181
149,390.49,4470
150,307.03,5481
151,279.45,5789
152,2474.98,156
153,1787.37,320
154,1272.4,650
155,332.23,5162
156,309.64,5447
157,388.75,4497
158,1046.34,958
159,956.79,1137
160,585.96,2688
161,523.91,3184
162,282.51,5749
163,543.86,3011
164,879.01,1352
165,2025.99,244
166,2535.81,147
167,815.68,1547
168,268.6,5909
169,488.88,3516
170,633.65,2404
171,264.97,5967
172,450.53,3862
173,682.3,2125
174,566.26,2836
175,434.33,4020
176,351.85,4947
177,256.86,6055
178,696.15,2062
179,664.35,2235
180,1034.08,978
181,228.62,6310
182,307.81,5473
183,2442.5,161
184,401.65,4351
185,567.26,2827
186,283.52,5738
187,217.81,6411
188,432.17,4040
189,953.34,1151
190,458.04,3782
191,269.17,5903
192,913.91,1258
193,360.72,4828
194,268.54,5911
195,298.27,5577
196,634.87,2399
197,461.98,3741
198,555.06,2919
199,262.29,5998
200,607.7,2556
201,336.07,5122
202,2072.04,233
203,1336.34,572
204,727,1916
205,343.6,5053
206,546.83,2989
207,460.39,3765
208,460.54,3761
209,512.05,3288
210,373.58,4671
211,629.31,2432
212,1667.74,366
213,1100.08,869
214,500.6,3389
215,678.01,2153
216,573.9,2779
217,219.82,6393
218,229.89,6299
219,297.1,5595
220,1361.84,541
221,911.58,1264
222,1272.22,653
223,637.94,2380
224,1139.58,805
225,1176.69,754
226,1585,411
227,437.51,3983
228,442.31,3933
229,365.93,4755
230,332.61,5158
231,306.12,5490
232,417.97,4189
233,429.5,4071
234,877.26,1358
235,756.86,1790
236,559.45,2888
237,450.86,3860
238,476.35,3624
239,572.37,2787
240,354.56,4907
241,539.17,3052
242,667.04,2218
243,1952.99,262
244,871.41,1368
245,597.76,2624
246,359.84,4842
247,1369.72,535
248,1372.62,530
249,732.75,1886
250,241.56,6194
251,1173.98,758
252,682.99,2118
253,781.1,1680
254,334.04,5144
255,496.88,3435
256,282.88,5744
257,465.71,3716
258,178.43,6577
259,373.5,4673
260,254.2,6077
261,350.48,4962
262,218.76,6404
263,1082.16,901
264,715.05,1974
265,439.79,3957
266,679.1,2146
267,2095.54,226
268,474.89,3637
269,399.93,4370
270,1165.86,768
271,256.99,6054
272,1132.39,813
273,201.62,6502
274,389.45,4485
275,886.98,1324
276,303.9,5514
277,396.6,4406
278,242.77,6179
279,523.25,3190
280,592.58,2648
281,448.04,3883
282,271.98,5873
283,209.66,6456
284,611.9,2536
285,474.88,3638
286,48218.41,2
287,264.88,5969
288,952,1155
289,766.39,1756
290,263.97,5981
291,3209.95,83
292,255.35,6069
293,586.49,2686
294,558.91,2892
295,758.35,1785
296,420.99,4159
297,827.97,1500
298,523.4,3188
299,293.41,5624
300,293.09,5631
301,818.54,1540
302,699.88,2046
303,393.44,4430
304,389.18,4487
305,1053.2,948
306,399.22,4379
307,1280.98,637
308,303.5,5519
309,358.34,4860
310,423.21,4134
311,1298.25,618
312,409,4285
313,587.66,2677
314,2090.41,229
315,467.99,3695
316,372.13,4689
317,480.71,3585
318,565.02,2843
319,457.74,3784
320,174.08,6580
321,622.38,2473
322,370.7,4698
323,673.34,2184
324,820.55,1535
325,346.53,5018
326,510.28,3304
327,1544.69,435
328,301.64,5543
329,221.26,6375
330,6901.31,18
331,364.18,4778
332,823.03,1518
333,353.43,4924
334,583.3,2707
335,393.32,4432
336,354.26,4913
337,342.32,5064
338,629.56,2431
339,651.58,2300
340,544.77,3001
341,471.16,3670
342,344.81,5038
343,300.37,5557
344,219.09,6400
345,1207.78,720
346,291.66,5650
347,406.93,4305
348,804.88,1595
349,426.04,4106
350,326.3,5216
351,1016.91,1010
352,614.86,2520
353,550.13,2958
354,735.13,1874
355,396.04,4413
356,574.13,2775
357,722.69,1943
358,1710.53,351
359,2196.76,209
360,634.13,2403
361,240.07,6213
362,442.84,3929
363,334.02,5145
364,360.72,4828
365,719.54,1953
366,375.25,4645
367,253.24,6089
368,524.2,3180
369,527.48,3144
370,677.19,2158
371,2138.9,220
372,321.53,5295
373,410.34,4271
374,1378.51,525
375,268.17,5916
376,1064.95,934
377,334.57,5137
378,807.83,1585
379,2304.3,187
380,1398.54,514
381,543.34,3019
382,270.53,5887
383,400.07,4368
384,405.38,4314
385,831.05,1490
386,369.65,4712
387,800.65,1616
388,1024.42,994
389,413.32,4234
390,515.87,3257
391,770.7,1739
392,375.36,4643
393,620.58,2487
394,850.8,1427
395,291.91,5647
396,548.05,2979
397,762.84,1769
398,228.4,6312
399,492.38,3481
400,354.32,4910
401,313.34,5412
402,741.98,1843
403,1208.42,718
404,1731.34,345
405,629.93,2426
406,875.32,1362
407,400.22,4367
408,463.24,3730
409,568.03,2818
410,351.82,4949
411,239.03,6225
412,440.26,3951
413,367.07,4746
414,643.41,2347
415,1379.51,524
416,585.95,2689
417,266.32,5948
418,787.06,1665
419,772.13,1727
420,310.88,5432
421,317.72,5345
422,638.74,2373
423,931.52,1206
424,709.32,1999
425,822.37,1526
426,293.09,5631
427,600.75,2602
428,501.74,3377
429,435.55,4005
430,2885.73,102
431,348.78,4985
432,517.79,3246
433,1117.92,838
434,458.84,3772
435,201.77,6500
436,292.08,5643
437,943.18,1178
438,761.63,1776
439,343.81,5052
440,340.9,5082
441,433.96,4023
442,502.44,3372
443,358.61,4853
444,367.58,4737
445,1309.4,599
446,1054.73,946
447,699.49,2047
448,784.29,1673
449,347.92,4999
450,6693.18,29
451,451.89,3846
452,387.4,4513
453,491.84,3483
454,340.39,5084
455,1142.96,797
456,751.15,1810
457,632.3,2413
458,241.98,6187
459,1039.49,966
460,461.76,3743
461,870.7,1370
462,303.67,5517
463,1619.7,387
464,297.74,5587
465,441.56,3940
466,746.19,1823
467,265.54,5956
468,1060.03,938
469,1087.71,892
470,623.88,2461
471,466.83,3703
472,390.12,4477
473,289.21,5671
474,603.81,2581
475,573.3,2780
476,345.42,5030
477,440.45,3949
478,497.85,3424
479,215.71,6421
480,1435.69,496
481,541.61,3034
482,530.16,3120
483,1710.53,351
484,834.56,1477
485,953.65,1148
486,490.15,3503
487,1008.98,1030
488,1327.21,581
489,371.07,4696
490,1022.86,998
491,671.39,2193
492,682.56,2121
493,415.14,4218
494,231.94,6285
495,238.05,6235
496,364.8,4771
497,432.23,4038
498,942.22,1183
499,248.6,6128
500,1671.43,364
501,569.49,2809
502,1244.9,683
503,364.49,4774
504,272.71,5864
505,461.01,3755
506,578.43,2737
507,332.65,5156
508,422.91,4138
509,485.2,3541
510,676.47,2163
511,244.86,6162
512,906.55,1279
513,1317.49,590
514,3281.35,82
515,582.27,2713
516,517.19,3248
517,656.71,2281
518,182.14,6570
519,495.29,3455
520,279.1,5793
521,1041.56,961
522,547.11,2988
523,282.1,5754
524,599.12,2612
525,1103.09,859
526,646.01,2331
527,585.78,2691
528,574.55,2773
529,1846.57,292
530,1110.43,844
531,232.47,6280
532,2261.15,201
533,510.04,3308
534,1859.32,286
535,381.61,4578
536,428.01,4092
537,1284.69,634
538,555.7,2915
539,841.9,1455
540,285.51,5713
541,446.03,3900
542,423.86,4126
543,1579.85,416
544,1501.46,461
545,657.42,2277
546,1022.26,1001
547,330.58,5173
548,376.29,4633
549,1272.4,650
550,648.92,2317
551,195.79,6522
552,279.22,5792
553,316.78,5357
554,615.04,2517
555,1824.2,305
556,41887.46,4
557,626.06,2450
558,311.58,5430
559,220.13,6390
560,620.88,2486
561,235.52,6258
562,300.97,5555
563,1027.35,988
564,283.97,5731
565,282.77,5746
566,282.86,5745
567,324.7,5248
568,453.57,3820
569,1526.48,445
570,452.49,3838
571,261.19,6016
572,323.05,5276
573,676.18,2166
574,6689.47,30
575,502.83,3367
576,1036.89,972
577,451.65,3850
578,634.73,2400
579,117.23,6622
580,514.41,3270
581,403.42,4334
582,356.81,4875
583,345.97,5022
584,335.26,5127
585,1011.99,1024
586,522.56,3201
587,237.89,6236
588,209.15,6459
589,521.95,3210
590,328.58,5193
591,268.12,5919
592,393.22,4433
593,808.75,1580
594,267.96,5922
595,296.48,5602
596,670.62,2201
597,482.79,3563
598,534.6,3079
599,412.69,4246
600,445.46,3903
601,206.62,6473
602,243.98,6170
603,553.74,2930
604,1250.91,678
605,491.49,3486
606,805.34,1594
607,657.84,2273
608,244.91,6161
609,968.34,1115
610,386.68,4523
611,553.17,2936
612,921.18,1242
613,354.1,4915
614,237.32,6240
615,663.74,2238
616,324.8,5246
617,408.69,4289
618,881.16,1348
619,588.59,2668
620,433.88,4025
621,336.77,5115
622,353.18,4927
623,587.73,2676
624,211.33,6447
625,562.82,2860
626,886.8,1327
627,557.84,2901
628,295.65,5610
629,463.91,3728
630,913.35,1260
631,258.33,6043
632,277.98,5811
633,748.75,1817
634,361.96,4808
635,307.03,5481
636,772.96,1721
637,493.75,3471
638,1577.07,419
639,380.42,4590
640,488.97,3513
641,318.62,5334
642,555.8,2913
643,606.26,2568
644,488.49,3521
645,1037.92,970
646,1059.32,939
647,701.38,2036
648,432.58,4036
649,357.99,4866
650,438.66,3973
651,736.8,1868
652,930.29,1212
653,1533.3,438
654,968.55,1114
655,870.12,1371
656,469.91,3680
657,1495.69,465
658,661.41,2250
659,943.38,1175
660,162.96,6593
661,215.98,6419
662,376.91,4628
663,522.32,3204
664,1130.98,815
665,1324.63,585
666,396.23,4410
667,399.89,4372
668,436.78,3995
